2026-06-02 08:43:59 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:49:32 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:50:12 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:50:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:50:57 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:51:27 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:51:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:52:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:52:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:53:38 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:54:08 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:54:38 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:54:53 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:55:23 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:55:53 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:56:23 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:56:53 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:57:23 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:57:53 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:58:02 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:58:32 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:59:02 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 08:59:32 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:00:02 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:00:32 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:01:02 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:01:32 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:02:02 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:02:32 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:03:02 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:03:32 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:04:02 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:06:47 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:07:16 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:07:47 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:07:57 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:08:09 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:08:38 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:08:57 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:09:26 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:09:57 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:10:27 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:10:57 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:11:27 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:11:57 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:13:06 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:13:06 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:13:26 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:13:57 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:14:27 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:15:23 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:15:52 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:15:56 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:16:02 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:16:32 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:17:02 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:17:32 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:18:01 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:18:01 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Solicitud de lista de reclamos abiertos. Usuario: E24455144 | Rol: ROL_0001
2026-06-02 09:18:01 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Consulta de históricos. Rango: 2026-06-02 al 2026-06-02 | Solicitado por: None
2026-06-02 09:18:01 | INFO     | E24455144    | CLAIMS-SERVICE  | Lista de abiertos cargada. Registros: 2 para el rol ROL_0001
2026-06-02 09:18:01 | INFO     | E24455144    | CLAIMS-SERVICE  | Histórico cargado: 0 registros atendidos encontrados.
2026-06-02 09:18:13 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Consulta de históricos. Rango: 2026-01-01 al 2026-06-02 | Solicitado por: None
2026-06-02 09:18:13 | INFO     | E24455144    | CLAIMS-SERVICE  | Histórico cargado: 12 registros atendidos encontrados.
2026-06-02 09:18:31 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:18:47 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:19:16 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:19:46 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:20:16 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:20:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:20:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:21:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:21:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:22:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:22:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:23:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:23:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:24:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:24:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:25:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:25:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:26:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:26:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:27:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:27:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:28:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:28:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:29:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:29:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:30:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:30:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:31:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:31:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:32:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:32:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:33:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:33:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:34:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:34:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:35:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:35:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:36:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:36:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:37:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:37:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:38:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:38:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:39:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:39:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:40:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:40:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:41:19 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
2026-06-02 09:41:49 | DEBUG    | E24455144    | CLAIMS-SERVICE  | Polling de notificaciones: E24455144 (ROL_0001)
